user_pseudo_id,category,country,subscription_start,Week Starts,Week ENDS,Week,Purchase date,Purchase amount,Currency
1005694.58343484,desktop,India,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-01,15.98,USD
1013442.50003876,mobile,United States,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-01,26.73,USD
1014060.11001915,desktop,United States,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-01,27.34,USD
1014271.47473206,desktop,United Kingdom,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-01,7.81,USD
1025449.05838584,desktop,Spain,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,20.97,USD
1041501.64234223,desktop,United States,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,28.09,USD
1083435.57862854,desktop,United States,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,2.51,USD
1131911.14955913,mobile,United States,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,7.55,USD
1136556.02250123,mobile,Peru,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,14.00,USD
1151520.43870247,desktop,Canada,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,15.51,USD
1169437.55322133,desktop,United States,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,16.96,USD
1192565.36349372,desktop,India,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,4.99,USD
1303239.60771808,desktop,Ireland,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,23.74,USD
1338949.61967055,desktop,United States,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,14.90,USD
1343580.60835652,desktop,India,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,2.76,USD
1376694.16727939,desktop,Canada,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,21.55,USD
1405798.39662652,desktop,Indonesia,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,12.05,USD
1459546.63152638,mobile,United States,2020-11-01,2020-11-01,2020-11-07,W_0,2020-11-02,24.37,USD
